Uniprote_IDs,uT01,uT02,uT03,uT04,uT05,uT06,uT07,uT08,uT09,uT10,FA01,FA02,FA03,FA04,FA05,FA06,FA07,FA08,FA09,FA10
A0AV96,69.06396484,71.72210693,64.96559143,67.25828552,63.04672623,62.61721802,65.07103729,59.41036987,64.07411957,68.05993652,55.81862259,63.17850113,62.93519592,54.38334274,59.80609131,58.61585617,103.4452438,65.19448853,58.70669556,56.37414551
A0AVT1,104.8857269,108.7154007,116.8873749,112.59758,106.4922104,119.4562836,123.6050339,120.074173,123.2118683,140.9179993,107.2415161,118.3254318,115.9495468,111.3959045,122.9981995,124.2187119,124.1464996,143.9642181,130.2290649,132.0706482
A0FGR8,139.0649719,215.8456573,204.1365967,160.6579895,190.0883484,203.2592926,153.9017487,178.1711884,177.4629211,163.9308014,132.144928,189.6101074,205.9402618,208.7255554,200.5855865,214.980545,145.0518799,163.5108643,203.1203156,185.3944244
A0MZ66,114.2997971,119.4540176,117.8937607,115.7361526,126.4662933,124.6690674,111.7493591,128.1144104,116.8005447,76.14807129,107.4743881,115.7371216,113.0678635,121.3756714,122.8374329,114.0784912,117.2873917,117.9207001,135.2691956,96.1320343
A0PJW6,Filtered,Filtered,54.85908127,59.89551163,Filtered,Filtered,Filtered,59.61154175,Filtered,Filtered,Filtered,Filtered,55.75452042,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A1L020,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,36.04795837,Filtered,20.12412262,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A1L0T0,106.9329453,84.41504669,112.3993225,116.3243866,107.3745346,114.2029572,117.0322189,124.3355789,132.5766296,139.6958313,98.9128418,128.9425964,107.3744354,111.1398697,57.88653183,113.7819901,131.4277954,135.9423065,161.8794861,130.8079224
A1X283,67.7270813,66.14627075,1568.518921,1591.472534,1754.774658,1640.147583,1722.218506,1377.905029,1703.90332,46.70507431,58.02224731,1259.85144,1837.188843,1516.620605,1753.727539,1425.918335,1521.134033,1857.836426,2061.761475,37.35996246
A3KMH1,43.46349716,51.51900864,52.9434967,47.70454407,53.14152908,46.99105072,55.54483032,50.98960495,62.41580963,61.74594879,41.75875473,49.13780212,47.02737045,59.60322189,45.46969604,52.26916122,54.87399292,70.11664581,52.23345947,62.33538055
A3KN83,42.76217651,50.26885986,59.592659,60.06362915,54.90413666,52.34169388,53.57156372,59.3001442,112.4946594,57.72688675,42.38974762,44.55562973,54.04805374,47.69498062,45.86151123,51.61638641,55.18868256,96.99347687,85.43477631,59.83722305
A4D1E9,56.41490173,67.53813171,66.10246277,66.16841125,61.46540833,65.63111877,68.74635315,78.02426147,78.93148041,84.1233902,50.36811066,65.85067749,61.65424728,62.08075714,72.26753998,73.69766235,58.26963425,85.2961731,93.52124023,78.57369995
A5A3E0,9465.858398,8875.146484,9297.572266,8424.388672,10011.56836,8913.859375,10096.49707,10471.33008,11230.31543,11539.28125,10344.38672,9977.825195,8893.450195,9139.597656,9423.580078,10612.02637,10768.52148,10155.02539,10191.31641,7521.602539
A5YKK6,194.4760132,287.1869812,271.098053,310.2644348,307.4702148,318.9554443,324.1547241,336.1213684,325.6679688,359.4187622,195.8222198,294.2045593,288.6957397,289.0076599,310.1443787,299.5239258,332.8659058,330.2532959,371.8156738,351.1656799
A6NCE7,52.40725708,60.83789825,91.8639679,78.82060242,81.9440918,64.33888245,77.34661102,71.77321625,75.4875946,54.20089722,102.2976227,78.01939392,93.02745819,92.83566284,78.46977234,78.16836548,73.70785522,77.3062973,69.42874146,74.42120361
A6NCW0,3595.0625,4657.587402,3921.179443,3565.483887,3530.752197,3311.200928,2761.556152,1977.97168,1607.509521,1231.278931,4385.634277,4798.210449,3988.52417,4747.942383,3349.661377,3411.685059,2490.479004,2002.654785,1495.469727,2396.929443
A6NDG6,539.4510498,511.5019531,502.4775391,584.1853027,490.7921143,479.2084351,531.0947876,530.87854,574.7885132,498.4845581,513.2503662,554.6298828,474.7730408,501.436554,528.5460815,512.9208984,501.9801636,497.5617676,511.9466248,509.11203
A6NDU8,53.85824966,74.61218262,69.9625473,73.42835999,66.34106445,83.61102295,84.00045013,89.40135956,81.96131897,104.1243439,83.8062973,74.58828735,75.31790161,78.88367462,77.51988983,97.13051605,92.22532654,96.72766876,83.84996033,115.9228745
A6NHL2,253.4620667,281.8851929,230.4229126,288.095459,219.6804504,247.0582733,281.2019348,298.8388062,299.5681458,296.6994019,265.2658386,220.9287109,243.6251831,220.8703613,212.8586731,231.5733032,246.4560242,237.3089905,274.4393311,191.7893677
A6NHQ2,982.2213745,1120.305054,984.1921997,1091.869385,1196.711548,1138.785034,1109.213257,1155.848755,1276.137085,1405.07251,1002.115112,1127.37085,938.0359497,861.3370361,1011.970154,1076.956665,1343.681396,1341.031494,1313.502808,1494.396851
A6NHR9,164.6211395,158.2276611,175.4868622,175.1273804,177.6602173,190.6372528,197.3527679,210.5256805,206.897049,249.9755707,166.6891632,171.8988342,158.0683746,182.9386597,168.9872894,180.3801422,206.7680817,212.2287445,214.3087006,214.5326996
A6NIH7,63.70915985,73.31889343,82.27467346,82.19341278,75.31088257,72.97360229,78.36338806,99.92665863,84.57982635,67.33348083,64.28527069,71.92626953,50.53952026,75.07793427,74.00418854,64.29994202,77.8816452,83.5933609,177.9680939,74.0091095
A6NKF9,39.31120682,51.39909363,74.55484772,74.20523071,50.70772552,72.08122253,67.17688751,100.5582428,71.98419189,95.15446472,47.51646042,63.11676407,Filtered,68.32678986,62.67414856,71.54742432,74.74609375,64.01121521,87.10923767,87.87532043
A6NKT7,153.8948364,168.2507477,136.4884033,157.7644806,Filtered,164.4192047,Filtered,Filtered,131.0746765,116.2893066,Filtered,119.9034729,153.7923889,145.2292786,161.3182068,168.5461578,Filtered,132.2655792,Filtered,138.0537262
A6ZKI3,98.36534119,93.95365906,89.82709503,104.9585342,104.7961121,96.75293732,108.1328278,155.2885284,103.4573441,96.64718628,128.8484344,110.2264023,114.6910553,118.5102158,130.912735,130.0703125,88.15760803,87.8963089,124.5092697,113.7104645
A8CG34,19.29502487,21.66906548,12.81450558,11.76114559,41.05325317,Filtered,10.96729565,19.96800232,13.22442341,9.619735718,10.70505524,38.19166183,Filtered,23.67254066,29.41178513,35.03570938,18.03800011,12.6941185,Filtered,26.66208839
A8MPP1,18.48418808,20.59840584,56.818367,16.52342987,15.51475239,16.42146683,17.30144501,21.97215652,Filtered,16.38968277,15.12794304,46.0747757,13.38851547,Filtered,16.83636093,10.78974438,13.61722565,17.13519096,21.61119461,11.46054459
