UniProtKB_accession_number	corum_id
A0A024R3R1	2851
A0A061I2H9	7549
A0A0D9QW47	1145
A0A0D9QYM3	1145
A0A0D9RE31	2173
A0A0D9RFH6	2173
A0A0D9RLK8	6231
A0A0D9RLK8	6228
A0A0D9RNP2	2173
A0A0D9S330	6329
A0A0D9S330	6330
A0A0D9S4T5	2173
A0A0F7CV11	6106
A0A0F7GJB8	6106
A0A0G2K0H3	6941
A0A0G2K2P5	7330
A0A0G2K761	197
A0A0G2K761	203
A0A0G2K761	82
A0A1U7Q6H2	7342
A0A1U7QDJ2	821
A0A1U7QSQ4	7342
A0A1U7QTB8	821
A0A1U7R8Q6	821
A0A1U7RET1	6348
A0A1U8C4L9	6934
A0A1U8CE17	821
A0A1U8CH79	6348
A0A1U8CRX6	6934
A0A1U8CU03	6980
A0A1U8CU03	7029
A0A287A2R9	5899
A0A287BBH3	5899
A0AVF1	6172
A0AVF1	6173
A0FGR8	7313
A0FGR9	7314
A0JLT2	5450
A0JLT2	230
A0JLT2	867
A1A4J1	7348
A1A4S6	5274
A1Z199	2540
A1Z199	2893
A2A288	6085
A2ABV5	537
A2AGH6	1184
A2AMT1	6882
A2ARP9	7455
A2ARV4	7539
A2AUC9	7532
A2RTF1	7455
A3KGF7	6694
A4FUA8	6130
A4FUA8	2247
A4GTP4	3076
A4IFE3	6130
A4IFH6	712
A5ACB9	3216
A5D8V6	1192
A5PJS1	124
A5PKJ3	6130
A5YKK6	6394
A5YKK6	6765
A5YKK6	7216
A5YKK6	6395
A5YKK6	7215
A5YKK6	7192
A5YKK6	7214
A6H8Y1	1114
A6NED2	7377
A6NGQ2	7378
A6NKF1	1154
A6QQ77	6100
A7MB24	6923
A7MB35	1375
A7MCY6	5212
A8K0Z3	6481
A8K0Z3	6484
A8K0Z3	7135
A8K0Z3	6639
A8K8P3	1183
A8MT69	6146
A8MT69	6145
A8MTZ0	6166
A8MTZ0	6163
A8UKE6	838
A8YXX8	6923
A9UMV7	516
B0BNB5	568
B0LPN4	737
B1WC34	405
B2RS91	1555
B2RS91	1560
B2RS91	1556
B2RSH2	6614
B2RUJ5	7244
B2RUJ5	3119
B2RUJ5	44
B2RUP2	6751
B2RWS6	6312
B2RWS6	2954
B2RYN6	941
B2RYS2	516
B2RYX1	516
B4F7C5	6979
B4F7C5	6971
B5DF89	7532
B5DF89	7530
B5DF89	7531
B5DF91	701
B5DF99	881
B5DF99	880
B5DFH1	179
B5DFL0	448
B6A7P8	6138
B6A7P8	6139
B6V8E6	1839
B6V8E6	1156
B7ZNG0	6606
B7ZNG0	6607
B7ZNG0	6604
B7ZNG0	6605
B8QI33	7244
C0JJ15	526
C0JJ16	526
C6KI89	7455
D0Q0Y7	6978
D0Q0Y7	6977
D0Q0Y7	6981
D0Q0Y7	6967
D0Q0Y7	6979
D0Q0Y7	6971
D3YZU1	1913
D3Z8B2	568
D3Z8L7	1537
D3Z902	6976
D3ZAF6	372
D3ZAN3	405
D3ZB51	6546
D3ZB51	6551
D3ZB51	6535
D3ZBL6	568
D3ZC84	782
D3ZCV0	1923
D3ZDX5	1537
D3ZE85	6978
D3ZE85	6977
D3ZE85	6981
D3ZE85	6967
D3ZE85	6979
D3ZE85	6971
D3ZEI6	7380
D3ZFB6	6971
D3ZFB6	6977
D3ZFB6	6967
D3ZFB6	6979
D3ZFK9	6818
D3ZFQ8	516
D3ZHH8	3076
D3ZHH8	3077
D3ZHH8	863
D3ZHH8	864
D3ZHL1	5915
D3ZHV0	568
D3ZHV2	7560
D3ZK93	6967
D3ZK93	6979
D3ZK93	6971
D3ZK93	6978
D3ZK93	6981
D3ZK93	6977
D3ZKB4	6448
D3ZKB4	6449
D3ZLB7	2796
D3ZM37	203
D3ZMR1	6500
D3ZMS5	890
D3ZMS5	1084
D3ZMS5	894
D3ZMS5	892
D3ZNS8	568
D3ZR10	6558
D3ZRD9	437
D3ZUY8	5344
D3ZUY8	5345
D3ZWV8	1024
D3ZWV8	893
