"Uniprots","Index"
"Q8NBW4",1
"Q7L523",1
"Q9HB90",1
"Q02539",2
"Q92830",3
"Q8IYH5",3
"O75528",3
"Q9H8E8",3
"Q92831",3
"Q9ULM3",3
"O75478",3
"P31942",4
"Q32P51",4
"Q9NTJ5",5
"P35606",5
"Q9UBF2",5
"O60869",6
"Q9Y6G9",6
"Q9BY44",6
"Q96EB6",7
"Q8NAP3",7
"Q9BWD3",8
"Q9BXD5",8
"O95751",8
"Q17RB0",8
"Q86TG7",8
"A6ZKI3",8
"Q15696",9
"Q96F63",9
"Q9HAP6",10
"Q9NUP9",10
"O75970",10
"O14936",10
"Q3KR37",11
"Q6P4E1",11
"Q96HH9",11
"O75071",11
"O43707",12
"P04114",12
"Q9NQC7",13
"Q9NYA1",13
"Q9Y3E0",14
"O14684",14
"Q9UBU6",14
"O94919",14
"Q9UI14",14
"Q9HBL7",14
"P50750",15
"P42568",15
"P51825",15
"Q03111",15
"O60563",15
"O60583",15
"O00472",15
"Q9UHB7",15
"Q96BK5",16
"P54274",16
"Q6NT76",17
"Q7Z6J8",17
"Q9Y316",17
"Q8NFP9",18
"P50851",18
"Q7Z3Z2",18
"Q9UPY6",19
"O43639",19
"O00401",19
"P53667",20
"Q5JXC2",20
"Q8NE01",21
"P01920",21
"Q9NRU3",21
"Q9NX36",22
"P24539",22
"Q8N140",23
"Q86UE8",23
"P23193",24
"Q9ULC4",24
"Q00688",24
"B7ZAP0",25
"Q5R372",25
"Q9Y3P9",25
"Q5TGL8",25
"Q9H2M3",26
"Q93088",26
"Q32P51",27
"P36776",27
"Q96DZ1",28
"Q68DX3",28
"Q9UBV2",28
"Q13438",28
"Q13522",29
"Q8N4L4",29
"Q8IX12",30
"P11047",30
"Q9BVC3",31
"P0CG13",31
"Q9C0F1",32
"Q8TC44",32
"O43172",33
"O43290",33
"Q8WUW1",34
"Q6T4R5",34
"Q70E73",34
"Q8IZP0",34
"Q13595",35
"P49759",35
"P07205",36
"Q9BRA2",36
"P54819",36
"P43897",36
"Q99999",37
"Q00888",37
"Q9UQ72",37
"P49715",38
"Q15276",38
"Q5T5S1",38
"Q9NRG9",39
"Q6NUQ4",39
"Q53GS7",39
"Q9NXE4",39
"P63279",39
"P61956",39
"Q96SK2",39
"Q9BTX1",39
"Q9HC62",39
"P18754",39
"P63165",39
